,actividad,is_apellido1,is_apellido2,is_celular,is_direccion,is_fnac,is_nombre,is_nombrecompleto,is_nrofam,is_presencial,is_profesion,is_recontacto,is_remoto,is_telefono,loc_comuna,loc_provincia,loc_region,medio_inicial,sexo
0,profesional,True,False,True,False,True,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,finco,femenino
5,empleado,True,False,True,False,False,True,True,False,False,False,False,False,False,otro,otro,otro,internet,femenino
7,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
8,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
9,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
10,sin informacion,True,True,True,True,True,True,True,False,False,True,False,False,True,chiguayante,concepcion,bio-bio,recontacto,masculino
11,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
12,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
15,empleado,True,True,True,False,True,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
16,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
17,profesional,True,True,True,False,False,True,True,True,False,True,False,False,True,concepcion,concepcion,bio-bio,letreros,masculino
20,sin informacion,True,True,True,True,True,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,letreros,femenino
21,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,chiguayante,concepcion,bio-bio,recorrido por el sector,masculino
23,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
24,empleado,True,True,True,False,False,True,True,False,False,False,False,False,True,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
25,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
26,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
28,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,otro,otro,bio-bio,internet,femenino
30,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
32,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,las condes,santiago,metropolitana,recorrido por el sector,femenino
34,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
36,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
38,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,san pedro de la paz,concepcion,bio-bio,recorrido por el sector,masculino
40,empleado,True,False,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,finco,masculino
42,empleado,True,True,True,False,False,True,True,True,False,False,False,False,True,concepcion,concepcion,bio-bio,recontacto,femenino
44,empleado,True,False,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
46,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
47,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
48,empleado,True,False,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
49,independiente (no profesional),True,True,True,True,True,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
50,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
51,independiente (no profesional),True,False,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,femenino
54,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
56,sin informacion,True,True,True,True,False,True,True,False,False,False,False,False,True,talcahuano,concepcion,bio-bio,recorrido por el sector,masculino
57,profesional,True,True,True,False,False,True,True,True,False,True,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
58,tecnico,True,True,True,False,False,True,True,True,False,False,False,False,False,coronel,concepcion,bio-bio,finco,masculino
60,empleado,True,False,True,False,False,True,True,False,False,False,False,False,False,san pedro de la paz,concepcion,bio-bio,finco,masculino
61,empleado,True,True,True,False,False,True,True,False,False,True,False,False,False,talcahuano,concepcion,bio-bio,recorrido por el sector,masculino
62,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,tome,concepcion,bio-bio,letreros,masculino
63,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,san pedro de la paz,concepcion,bio-bio,recontacto,masculino
64,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,otro,otro,otro,recontacto,masculino
66,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,penco,concepcion,bio-bio,recorrido por el sector,masculino
67,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,santiago,santiago,metropolitana,internet,masculino
68,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,talcahuano,concepcion,bio-bio,finco,masculino
72,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,masculino
73,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recorrido por el sector,femenino
74,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
75,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,letreros,femenino
76,profesional,True,True,True,True,True,True,True,True,False,True,False,False,True,concepcion,concepcion,bio-bio,internet,masculino
78,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,recontacto,femenino
80,profesional,True,True,True,True,False,True,True,False,False,True,False,False,True,concepcion,concepcion,bio-bio,finco,masculino
82,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,penco,concepcion,bio-bio,letreros,masculino
83,empleado,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
84,profesional,True,False,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,internet,masculino
85,profesional,True,True,True,True,True,True,True,True,False,True,False,False,False,penco,concepcion,bio-bio,recorrido por el sector,masculino
86,profesional,True,True,True,False,False,True,True,False,False,True,False,False,False,concepcion,concepcion,bio-bio,referidos,masculino
87,independiente (no profesional),True,True,True,False,False,True,True,False,False,False,False,False,False,otro,otro,otro,internet,masculino
89,independiente (no profesional),True,True,True,False,False,True,True,True,False,False,False,False,False,concepcion,concepcion,bio-bio,recontacto,masculino
90,profesional,True,True,True,True,False,True,True,False,False,True,False,False,True,concepcion,concepcion,bio-bio,internet,femenino
91,sin informacion,True,True,True,False,False,True,True,False,False,False,False,False,False,concepcion,concepcion,bio-bio,referidos,masculino
92,profesional,True,True,True,True,False,True,True,True,False,True,False,False,False,talcahuano,concepcion,bio-bio,recontacto,masculino
94,empleado,True,True,True,True,False,True,True,False,False,False,False,False,False,coronel,concepcion,bio-bio,internet,femenino
95,empleado,True,True,True,True,False,True,True,False,False,False,False,False,True,concepcion,concepcion,bio-bio,letreros,masculino
96,empleado,True,True,True,False,False,True,True,True,False,False,False,False,False,talcahuano,concepcion,bio-bio,recorrido por el sector,femenino
