iter	Passed	Remaining
0	80	80404
1	104	51985
2	126	42034
3	147	36829
4	168	33555
5	190	31538
6	213	30225
7	235	29201
8	255	28178
9	279	27660
10	303	27316
11	327	26944
12	350	26578
13	372	26204
14	394	25930
15	414	25516
16	436	25227
17	460	25119
18	483	24982
19	505	24758
20	530	24708
21	553	24585
22	576	24475
23	597	24301
24	618	24137
25	640	23991
26	662	23883
27	685	23799
28	703	23567
29	730	23617
30	753	23560
31	778	23553
32	801	23484
33	824	23435
34	847	23377
35	871	23339
36	893	23257
37	918	23243
38	936	23064
39	959	23027
40	985	23046
41	1004	22918
42	1024	22792
43	1044	22698
44	1066	22627
45	1085	22507
46	1104	22400
47	1122	22265
48	1145	22224
49	1166	22169
50	1186	22083
51	1206	21995
52	1232	22029
53	1255	21985
54	1279	21982
55	1303	21968
56	1324	21915
57	1349	21913
58	1372	21884
59	1393	21836
60	1421	21880
61	1435	21714
62	1453	21616
63	1471	21523
64	1489	21427
65	1506	21320
66	1524	21225
67	1547	21204
68	1568	21156
69	1596	21214
70	1621	21217
71	1643	21186
72	1665	21155
73	1686	21110
74	1708	21076
75	1731	21053
76	1753	21023
77	1775	20990
78	1796	20943
79	1818	20917
80	1839	20867
81	1857	20793
82	1874	20713
83	1893	20644
84	1908	20542
85	1925	20461
86	1942	20386
87	1954	20255
88	1972	20187
89	1989	20117
90	2008	20065
91	2029	20029
92	2048	19976
93	2065	19905
94	2083	19848
95	2100	19784
96	2118	19723
97	2135	19656
98	2152	19590
99	2169	19523
100	2186	19458
101	2205	19415
102	2226	19392
103	2250	19386
104	2273	19378
105	2296	19365
106	2319	19358
107	2341	19339
108	2363	19321
109	2384	19295
110	2407	19284
111	2429	19263
112	2451	19240
113	2470	19197
114	2493	19189
115	2511	19139
116	2527	19078
117	2545	19022
118	2562	18971
119	2580	18924
120	2598	18875
121	2615	18822
122	2634	18782
123	2654	18754
124	2673	18716
125	2693	18683
126	2713	18650
127	2732	18613
128	2750	18568
129	2770	18539
130	2787	18492
131	2804	18442
132	2821	18391
133	2839	18351
134	2860	18328
135	2878	18289
136	2897	18249
137	2915	18208
138	2932	18165
139	2951	18128
140	2969	18093
141	2986	18046
142	3004	18007
143	3021	17961
144	3041	17935
145	3049	17836
146	3069	17811
147	3086	17765
148	3103	17727
149	3121	17689
150	3138	17648
151	3156	17607
152	3167	17535
153	3187	17511
154	3205	17477
155	3226	17453
156	3244	17422
157	3266	17405
158	3284	17375
159	3302	17339
160	3322	17314
161	3341	17286
162	3360	17258
163	3382	17244
164	3401	17211
165	3419	17180
166	3437	17145
167	3455	17112
168	3475	17089
169	3494	17061
170	3512	17029
171	3529	16991
172	3548	16965
173	3567	16935
174	3584	16899
175	3601	16861
176	3619	16828
177	3637	16795
178	3654	16762
179	3676	16749
180	3694	16718
181	3710	16678
182	3727	16642
183	3744	16607
184	3751	16528
185	3768	16493
186	3786	16460
187	3802	16422
188	3819	16389
189	3837	16358
190	3855	16329
191	3878	16321
192	3896	16292
193	3914	16263
194	3932	16234
195	3950	16205
196	3968	16175
197	3988	16153
198	4007	16128
199	4024	16097
200	4041	16066
201	4059	16037
202	4078	16014
203	4096	15983
204	4114	15954
205	4131	15925
